mes,leads_totais,leads_google_ads,leads_meta_ads,leads_instagram_organico,leads_indicacao,leads_origem_desconhecida,consultas_marcadas_totais,consultas_marcadas_google_ads,consultas_marcadas_meta_ads,consultas_marcadas_ig_organico,consultas_marcadas_indicacao,consultas_marcadas_outros,consultas_comparecidas,fechamentos_totais,fechamentos_google_ads,fechamentos_meta_ads,fechamentos_ig_organico,fechamentos_indicacao,fechamentos_outros,faturamento,investimento_total,investimento_facebook,investimento_google
Janeiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fevereiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Março,69,1,4,47,16,1,7,0,0,4,1,2,0,6,1,0,2,0,3,36250,3063.21,1514.14,1549.07
Abril,267,68,5,147,2,45,26,1,4,13,3,5,38,8,2,0,3,0,3,360050,11730.24,7880.25,3849.99
Maio,351,43,62,238,4,4,21,5,2,13,1,0,13,6,0,1,4,1,0,256400,9047.96,5364.35,3683.61
Junho,256,19,103,129,4,1,20,2,0,16,1,1,33,9,1,0,7,0,1,373800,9385.16,5982.03,3403.13
Julho,666,48,229,379,10,0,40,3,8,14,13,2,33,14,2,3,3,2,4,617090,6819.82,4582.97,2236.85
Agosto,535,41,118,356,20,0,25,1,0,16,8,0,23,16,3,0,7,2,4,538090,7726.60,5969.60,1757.00
Setembro,670,43,123,499,5,0,31,2,0,22,6,1,32,15,0,0,9,2,4,701220,6676.47,5315.54,1360.93
Outubro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novembro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dezembro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

